        1948        2025
 1948 -99.99 -99.99 -99.99 -99.99 -99.99 -99.99 -99.99 -99.99 -99.99 -99.99 -99.99 -99.99
 1949 -99.99 -99.99 -99.99 -99.99 -99.99 -99.99 -99.99 -99.99 -99.99 -99.99 -99.99 -99.99
 1950  -1.99  -1.69  -1.42  -1.54  -1.75  -1.27  -1.01  -0.97  -0.98  -1.03  -1.23  -1.31
 1951  -1.30  -1.04  -0.38  -0.23  -0.01   0.00   0.30   0.17   0.51   0.49   0.55   0.31
 1952   0.13  -0.01  -0.11  -0.02  -0.14  -0.54  -0.76  -0.56  -0.36  -0.46  -0.78  -0.39
 1953   0.20   0.24   0.29   0.22   0.35   0.39   0.14   0.09   0.29   0.16   0.18   0.41
 1954   0.43   0.28  -0.38  -1.17  -0.81  -0.93  -1.18  -1.43  -1.60  -1.48  -1.13  -1.33
 1955  -0.93  -0.95  -1.06  -1.22  -1.28  -1.18  -1.15  -1.35  -1.43  -2.31  -2.45  -2.03
 1956  -1.20  -0.99  -0.83  -0.97  -0.80  -0.92  -1.06  -1.17  -0.98  -0.97  -1.14  -0.89
 1957  -0.51  -0.22   0.18   0.41   0.62   0.63   0.87   0.84   0.72   0.70   0.92   1.30
 1958   1.78   1.49   0.98   0.46   0.38   0.26   0.03  -0.01  -0.32  -0.27   0.05   0.02
 1959   0.53   0.43   0.19   0.06  -0.23  -0.35  -0.86  -0.77  -0.80  -0.48  -0.66  -0.42
 1960  -0.28  -0.46  -0.30  -0.33  -0.25  -0.49  -0.41  -0.15  -0.28  -0.49  -0.45  -0.38
 1961  -0.31  -0.19  -0.35  -0.46  -0.18  -0.06  -0.41  -0.67  -0.94  -1.01  -0.63  -0.63
 1962  -0.59  -0.57  -0.48  -0.69  -0.89  -0.65  -0.53  -0.53  -0.78  -0.75  -0.95  -0.93
 1963  -0.78  -0.53  -0.10  -0.03  -0.30  -0.11   0.49   0.62   0.68   0.64   0.77   1.02
 1964   0.79   0.38  -0.26  -0.87  -1.12  -1.14  -0.96  -1.26  -1.40  -1.35  -1.44  -1.37
 1965  -0.89  -0.56  -0.34  -0.44   0.06   0.36   0.61   1.12   1.29   1.45   1.42   1.36
 1966   1.12   0.80   0.93   0.35  -0.38  -0.08   0.04  -0.37  -0.44  -0.50  -0.47  -0.57
 1967  -0.67  -0.64  -0.78  -1.08  -0.59  -0.26  -0.33  -0.42  -0.86  -0.74  -0.62  -0.65
 1968  -0.85  -1.07  -0.95  -0.72  -0.75   0.15   0.28   0.16   0.01   0.04   0.50   0.67
 1969   0.95   1.11   0.54   0.31   0.35  -0.04  -0.21   0.16   0.43   0.62   0.40   0.38
 1970   0.28   0.20  -0.14  -0.08  -0.30  -0.69  -1.08  -1.26  -1.07  -1.12  -1.13  -1.33
 1971  -1.73  -1.57  -1.36  -1.18  -0.98  -1.13  -1.17  -1.10  -1.00  -1.24  -1.15  -1.23
 1972  -0.92  -0.45  -0.19   0.07   0.38   0.45   0.85   1.09   1.23   1.54   1.90   2.09
 1973   1.80   1.20   0.27  -0.58  -0.97  -1.18  -1.54  -1.63  -1.66  -1.98  -2.37  -2.26
 1974  -2.09  -1.66  -1.45  -1.36  -1.29  -1.20  -0.90  -0.52  -0.64  -0.94  -1.09  -0.97
 1975  -0.45  -0.68  -1.09  -0.96  -1.13  -1.50  -1.39  -1.52  -1.66  -1.83  -1.66  -1.93
 1976  -2.01  -1.26  -0.82  -0.93  -0.74  -0.38  -0.16   0.12   0.30   0.75   0.71   0.49
 1977   0.78   0.37   0.19  -0.38  -0.21   0.01   0.09  -0.01   0.40   0.63   0.48   0.70
 1978   0.62   0.25  -0.20  -0.70  -0.74  -0.71  -0.55  -0.79  -0.71  -0.46  -0.38  -0.06
 1979  -0.13  -0.22  -0.02   0.02  -0.25  -0.29  -0.47  -0.10   0.28   0.11   0.29   0.52
 1980   0.54   0.22   0.03  -0.07   0.08   0.21  -0.06  -0.38  -0.28  -0.26  -0.10   0.05
 1981  -0.36  -0.64  -0.64  -0.53  -0.57  -0.46  -0.64  -0.53  -0.19  -0.30  -0.41  -0.20
 1982   0.13  -0.17   0.13   0.21   0.45   0.53   0.37   0.73   1.49   1.99   1.92   2.20
 1983   2.35   1.94   1.38   0.95   0.90   0.54  -0.11  -0.27  -0.52  -1.16  -1.29  -1.03
 1984  -0.67  -0.19  -0.52  -0.68  -0.73  -0.90  -0.50  -0.24  -0.34  -0.67  -1.19  -1.34
 1985  -1.16  -0.72  -0.79  -1.18  -1.03  -0.91  -0.74  -0.56  -0.70  -0.49  -0.37  -0.41
 1986  -0.66  -0.71  -0.42  -0.33  -0.53  -0.31  -0.11   0.32   0.53   0.81   1.01   1.12
 1987   1.14   1.13   0.98   0.58   0.62   0.92   1.29   1.57   1.65   1.24   1.07   0.94
 1988   0.90   0.28   0.10  -0.44  -1.25  -1.74  -1.74  -1.19  -1.00  -1.90  -2.05  -1.96
 1989  -1.97  -1.47  -1.21  -1.08  -0.88  -0.59  -0.57  -0.53  -0.30  -0.40  -0.45  -0.13
 1990   0.01   0.21   0.04   0.08   0.08  -0.08   0.09   0.22   0.22   0.21   0.10   0.35
 1991   0.49   0.32   0.03   0.19   0.26   0.52   0.76   0.68   0.42   0.86   1.20   1.69
 1992   1.84   1.78   1.38   1.20   1.04   0.58   0.22   0.05  -0.06  -0.30  -0.28  -0.15
 1993   0.14   0.41   0.39   0.59   0.78   0.35   0.23   0.13   0.35   0.06   0.00   0.16
 1994   0.10   0.06   0.11   0.26   0.31   0.32   0.24   0.53   0.48   0.75   1.11   1.25
 1995   1.02   0.73   0.46   0.28  -0.11  -0.14  -0.21  -0.63  -0.84  -0.88  -1.10  -0.95
 1996  -0.86  -0.86  -0.61  -0.47  -0.38  -0.44  -0.44  -0.22  -0.45  -0.44  -0.41  -0.64
 1997  -0.53  -0.37  -0.25   0.16   0.64   1.09   1.56   1.89   2.13   2.36   2.41   2.29
 1998   2.38   2.03   1.34   0.78   0.57  -0.39  -0.99  -1.28  -1.26  -1.46  -1.46  -1.69
